Team;G;PF;Yds;Ply;TO;FL;1stD;Passing Cmp;Passing Att;Passing Yds;Passing TD;Passing Int;Passing AY/A;Passing 1stD;Rushing Att;Rushing Yds;Rushing Y/A;Rushing TD;Rushing 1stD;Penalties Pen;Penalties Yds;Penalties 1stPy;0-19 FGA;0-19 FGM;20-29 FGA;20-29 FGM;30-39 FGA;30-39 FGM;40-49 FGA;40-49 FGM;50+ FGA;50+ FGM;Scoring FGA;Scoring FGM;Scoring Lng;Scoring XPA;Scoring XPM;Kickoffs KO;Kickoffs KOYds;Kickoffs TB;Punting Pnt;Punting Yds;Punting RetYds;Punting Net;Punting Lng;Punting TB;Punting In20;Punting Blck;PA;Opp Yds;Opp Ply;Opp TO;Opp FL;Opp 1stD;Opp Passing Cmp;Opp Passing Att;Opp Passing Yds;Opp Passing TD;Opp Passing Int;Opp Passing 1stD;Opp Rushing Att;Opp Rushing Yds;Opp Rushing TD;Opp Rushing 1stD;Opp Penalties Pen;Opp Penalties Yds;Opp Penalties 1stPy;Opp Scoring FGA;Opp Scoring FGM;Opp Scoring XPA;Opp Scoring XPM;Opp Punting Pnt;Opp Punting Yds;Opp Punting Blck;Drives;Opp Drives
ARI;17;330;5509;1068;18;6;330;355;555;3144;18;12;5.9;173;471;2365;5.0;17;127;101;859;30;;;6;6;8;7;7;6;12;9;33;28;62;23;22;79;4842;66;64;3172;366;2710;77;3;13;0;455;6047;1060;17;6;369;347;506;3613;32;11;198;521;2434;19;141;92;765;30;31;26;52;51;60;2930;0;180;175
ATL;17;321;5683;1092;28;11;326;327;530;3524;17;17;6.3;181;522;2159;4.1;14;121;84;743;24;;;10;10;10;10;11;9;6;3;37;32;54;28;27;79;5128;66;75;3523;353;3083;66;3;27;0;373;5458;1090;16;8;320;340;549;3449;24;8;183;499;2009;11;105;104;831;32;41;39;34;34;78;3762;0;196;195
BAL;17;483;6296;1076;19;12;360;328;494;3635;27;7;8.3;180;541;2661;4.9;26;145;102;955;35;;;10;10;10;10;12;11;5;1;37;32;50;52;51;104;6638;80;67;3158;433;2622;67;5;28;1;280;5123;1109;31;13;306;384;634;3263;18;18;175;415;1860;6;96;106;841;35;35;32;19;18;78;3666;0;197;195
BUF;17;451;6366;1115;28;10;381;385;579;4154;29;18;7;199;512;2212;4.3;22;158;106;883;24;;;4;4;13;12;6;4;6;4;29;24;54;50;49;95;5952;53;51;2334;237;2030;70;3;24;0;311;5222;1015;30;12;313;363;552;3342;18;18;183;409;1880;14;96;99;753;34;28;26;26;25;71;3451;0;181;181
CAR;17;236;4510;1096;20;10;297;350;586;2741;13;10;5.2;150;445;1769;4.0;7;111;103;845;36;;;6;6;7;7;9;7;8;5;30;25;56;20;17;62;3749;37;82;3838;210;3476;69;5;25;0;416;4997;1016;11;3;311;309;481;2916;19;8;162;508;2081;25;122;89;679;27;26;25;47;45;81;3877;0;180;183
CHI;17;360;5495;1097;25;10;322;321;513;3096;19;15;6.1;169;534;2399;4.5;16;137;99;853;16;;;9;9;11;11;10;8;8;7;38;35;55;33;31;89;5624;71;67;3088;381;2547;76;8;18;0;379;5511;1035;28;6;307;410;617;4043;31;22;196;388;1468;8;88;72;530;23;33;24;39;37;62;2887;0;184;184
CIN;17;366;5422;1048;16;2;329;420;615;3895;27;14;6.8;208;383;1527;4.0;12;90;76;614;31;;;5;5;6;6;8;8;12;7;31;26;56;40;40;82;5162;63;76;3369;203;3048;62;5;20;0;384;6368;1055;26;9;351;364;555;4223;23;17;201;456;2145;17;127;92;784;23;35;32;38;36;67;3117;0;188;187
CLE;17;396;5710;1187;37;14;325;355;624;3693;24;23;5.5;173;518;2017;3.9;15;121;115;897;31;;;8;8;8;8;13;10;8;8;37;34;58;33;30;92;5805;54;90;4449;450;3796;73;9;31;0;362;4593;1004;28;10;254;307;535;2800;23;18;136;420;1793;15;88;118;923;30;24;17;41;41;112;5302;0;222;222
DAL;17;509;6317;1122;16;6;385;428;614;4397;36;10;8;229;468;1920;4.1;14;113;115;964;43;;;9;9;15;13;4;4;10;10;38;36;60;52;49;109;7068;99;44;2262;247;1995;63;2;17;0;315;5095;1014;26;9;311;308;509;3185;21;17;166;459;1910;14;108;104;934;37;26;22;31;31;60;2753;2;169;178
DEN;17;357;5072;1016;22;13;301;337;513;3262;28;9;7.3;154;451;1810;4.0;8;116;99;749;31;;;11;11;13;12;5;4;5;3;34;30;52;31;29;82;5190;71;79;3659;195;3276;68;6;27;0;413;6303;1083;26;15;349;382;572;3972;29;11;201;469;2331;15;119;99;965;29;35;30;42;41;57;2821;0;189;184
